"filename", "language", "Python", "Database", "HTML", "CSS", "TypeScript", "comment", "blank", "total"
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\manage.py", "Python", 13, 0, 0, 0, 0, 1, 2, 16
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\media\Files\Lucky_Goblins_Fuck_Hottest_Elves_-_Gangbang_-_Orgy_Part_-_xHamster.ts", "TypeScript", 0, 0, 0, 0, 1234151, 1142598, 7117, 2383866
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\media\Files\Lucky_Goblins_Fuck_Hottest_Elves_-_Gangbang_-_Orgy_Part_-_xHamster_MM1vIQA.ts", "TypeScript", 0, 0, 0, 0, 1234151, 1142598, 7117, 2383866
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\media\Files\Lucky_Goblins_Fuck_Hottest_Elves_-_Gangbang_-_Orgy_Part_-_xHamster_ychX9Gu.ts", "TypeScript", 0, 0, 0, 0, 1234151, 1142598, 7117, 2383866
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\media\Files\speech.py", "Python", 10, 0, 0, 0, 0, 1, 4, 15
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\admin.py", "Python", 3, 0, 0, 0, 0, 0, 2, 5
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\apps.py", "Python", 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\forms.py", "Python", 18, 0, 0, 0, 0, 0, 9, 27
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\migrations\0001_initial.py", "Python", 18, 0, 0, 0, 0, 1, 7, 26
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\migrations\0002_profile_is_locked.py", "Python", 12, 0, 0, 0, 0, 1, 6, 19
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\models.py", "Python", 16, 0, 0, 0, 0, 0, 7, 23
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\signals.py", "Python", 11, 0, 0, 0, 0, 0, 5, 16
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\templates\users\login.html", "HTML", 0, 0, 21, 0, 0, 0, 1, 22
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\templates\users\logout.html", "HTML", 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\templates\users\profile.html", "HTML", 0, 0, 27, 0, 0, 0, 1, 28
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\templates\users\profile_list.html", "HTML", 0, 0, 32, 0, 0, 0, 5, 37
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\templates\users\register.html", "HTML", 0, 0, 21, 0, 0, 0, 1, 22
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\templates\users\register_admin.html", "HTML", 0, 0, 16, 0, 0, 0, 1, 17
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\tests.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\urls.py", "Python", 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\users\views.py", "Python", 90, 0, 0, 0, 0, 0, 16, 106
"Total", "-", 707, 290, 768, 68, 3702453, 3427894, 21644, 7153824
