"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\admin\Desktop\Projects\Project_Final\Sample Web\Django-WebApp\django_web_app\blog\keras_predict.py", "Python", 5, 1, 2, 8
"Total", "-", 5, 1, 2, 8
